positioning_time,quality,direction,Gps.speed,Gps.flag,Speed.speed,pulse,Speed.flag,Back,Brake+Back,COG,No fix,DR,3D,3D+DR,lat,lng,seq_no,status,satellite_num,pdop,altitude,ACC OFF,ACC ON
20190802T204411+0900,6,12,34.6,1,30.2,24,5,,,0,,-50,,,25.043464,121.52295,,1,0,50,59,,
,,,34.6,,25.4,24,5,,,0,,,,,,,,,,,,,
20190802T204412+0900,6,12,27.4,1,25.4,19,1,,,0,,-50,,,25.043499,121.522959,,1,0,50,59.2,,
,,,27.4,,20,19,1,,,0,,,,,,,,,,,,,
20190802T204413+0900,1,11,18.7,1,17.9,13,5,,,1,,,-50,,25.043558,121.522975,,2,5,3.5,58.7,,
,,,18.7,,9.8,13,1,,,1,,,,,,,,,,,,,
20190802T204414+0900,6,10,11.5,1,9.8,8,1,,,1,,-50,,,25.043597,121.522986,,1,0,50,58.5,,
,,,11.5,,5.9,8,5,,,1,,,,,,,,,,,,,
20190802T204415+0900,1,10,5.7,1,5.1,4,5,,,0,,,-50,,25.043619,121.522992,,2,5,8.3,58.2,,
,,,5.7,,3.6,4,1,,,0,,,,,,,,,,,,,
20190802T204416+0900,1,9,2.8,1,2.5,2,1,,,1,,,-50,,25.043634,121.522998,,2,6,6.1,56.9,,
,,,2.8,,1.7,2,5,,,1,,,,,,,,,,,,,
20190802T204417+0900,1,9,2.8,1,0,2,1,,,0,,,-50,,25.043636,121.523012,,2,7,3.2,53.7,,
,,,2.8,,0,2,1,,,0,,,,,,,,,,,,,
20190802T204418+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043632,121.523031,,2,8,3.1,50,,
,,,0,,1,0,5,,,0,,,,,,,,,,,,,
20190802T204419+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,8,3.1,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204420+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204421+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204422+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,10,2.2,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204423+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,11,1.8,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204424+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,11,1.8,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204425+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204426+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204427+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204428+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,10,2.2,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204429+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,10,2.9,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204430+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,11,2.1,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204431+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,11,2.1,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204432+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,10,2.9,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
20190802T204433+0900,1,9,0,1,0,0,1,,,0,,,-50,,25.043631,121.523034,,2,10,2.9,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204434+0900,1,9,0,1,0,0,5,,,0,,,-50,,25.043631,121.523034,,2,10,3.7,49.5,,
,,,0,,0,0,1,,,0,,,,,,,,,,,,,
20190802T204435+0900,1,9,0,1,0,0,0,,,0,,,-50,,25.043631,121.523034,,2,9,2.9,49.5,,
,,,0,,0,0,5,,,0,,,,,,,,,,,,,
